trait_type_resource,trait_resource,trait_type_consumer,trait_consumer
tiering,pelagic,tiering,pelagic
tiering,erect,tiering,pelagic
tiering,surficial,tiering,pelagic
tiering,primary,tiering,pelagic
tiering,pelagic,tiering,erect
tiering,erect,tiering,erect
tiering,surficial,tiering,erect
tiering,primary,tiering,erect
tiering,erect,tiering,surficial
tiering,surficial,tiering,surficial
tiering,semi-infaunal,tiering,surficial
tiering,primary,tiering,surficial
tiering,surficial,tiering,semi-infaunal
tiering,semi-infaunal,tiering,semi-infaunal
tiering,shallow_infaunal,tiering,semi-infaunal
tiering,deep_infaunal,tiering,semi-infaunal
tiering,primary,tiering,semi-infaunal
tiering,semi-infaunal,tiering,shallow_infaunal
tiering,shallow_infaunal,tiering,shallow_infaunal
tiering,deep_infaunal,tiering,shallow_infaunal
tiering,primary,tiering,shallow_infaunal
tiering,semi-infaunal,tiering,deep_infaunal
tiering,shallow_infaunal,tiering,deep_infaunal
tiering,deep_infaunal,tiering,deep_infaunal
tiering,primary,tiering,deep_infaunal
motility,fast,motility,fast
motility,slow,motility,fast
motility,facultative,motility,fast
motility,nonmotile,motility,fast
motility,primary,motility,fast
motility,slow,motility,slow
motility,facultative,motility,slow
motility,nonmotile,motility,slow
motility,primary,motility,slow
motility,facultative,motility,facultative
motility,nonmotile,motility,facultative
motility,primary,motility,facultative
motility,primary,motility,nonmotile
feeding,predator,feeding,predator
feeding,deposit,feeding,predator
feeding,mining,feeding,predator
feeding,suspension,feeding,predator
feeding,grazer,feeding,predator
feeding,primary,feeding,deposit
feeding,primary,feeding,mining
feeding,primary,feeding,suspension
feeding,primary,feeding,grazer
size,gigantic,size,gigantic
size,very_large,size,gigantic
size,large,size,gigantic
size,primary,size,gigantic
size,very_large,size,very_large
size,large,size,very_large
size,medium,size,very_large
size,primary,size,very_large
size,large,size,large
size,medium,size,large
size,small,size,large
size,primary,size,large
size,medium,size,medium
size,small,size,medium
size,tiny,size,medium
size,primary,size,medium
size,small,size,small
size,tiny,size,small
size,primary,size,small
size,tiny,size,tiny
size,primary,size,tiny
