Guild,clade,motility_detail,motility,motility_simple,tiering,tiering_simple,feeding,predator_type,feeding_simple,size,calcification,abundance_detail,abundance_simple
Ammonite_3,ammonite,slow_swimmer,slow,motile,pelagic,pelagic,predator,micropredator,predator,large,moderate,27,fairly_common
Ammonite_2,ammonite,slow_swimmer,slow,motile,pelagic,pelagic,predator,micropredator,predator,medium,moderate,96,common
Ammonite_1,ammonite,slow_swimmer,slow,motile,pelagic,pelagic,predator,micropredator,predator,small,moderate,30,fairly_common
Belemnite_3,belemnite,fast_swimmer,fast,motile,pelagic,pelagic,predator,macropredator,predator,gigantic,moderate,49,fairly_common
Belemnite_1,belemnite,fast_swimmer,fast,motile,pelagic,pelagic,predator,macropredator,predator,large,moderate,53,common
Belemnite_2,belemnite,fast_swimmer,fast,motile,pelagic,pelagic,predator,macropredator,predator,very_large,moderate,228,very_common
Bivalve_5,bivalve,slow_crawler,slow,motile,shallow_infaunal,infaunal,mining,,detritivore,small,moderate,617,very_common
Bivalve_8,bivalve,facultative_unattached,facultative,motile,deep_infaunal,infaunal,suspension,,suspension,medium,moderate,53,common
Bivalve_10,bivalve,slow_crawler,slow,motile,deep_infaunal,infaunal,suspension,,suspension,medium,moderate,30,fairly_common
Bivalve_14,bivalve,facultative_unattached,facultative,motile,shallow_infaunal,infaunal,suspension,,suspension,small,moderate,64,common
Bivalve_16,bivalve,facultative_attached,facultative,motile,surficial,epifaunal,suspension,,suspension,medium,moderate,1,very_rare
Bivalve_17,bivalve,facultative_attached,facultative,motile,surficial,epifaunal,suspension,,suspension,small,moderate,1125,dominant
Bivalve_18,bivalve,facultative_attached,facultative,motile,surficial,epifaunal,suspension,,suspension,tiny,moderate,2,very_rare
Bivalve_19,bivalve,facultative_unattached,facultative,motile,surficial,epifaunal,suspension,,suspension,large,moderate,306,very_common
Bivalve_24,bivalve,facultative_unattached,facultative,motile,surficial,epifaunal,suspension,,suspension,small,moderate,2,very_rare
Bivalve_20,bivalve,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,medium,moderate,22,fairly_common
Bivalve_21,bivalve,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,small,moderate,1,very_rare
Bivalve_23,bivalve,nonmotile_unattached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,small,moderate,119,common
Brachiopod_2,brachiopod,facultative_unattached,facultative,motile,shallow_infaunal,infaunal,suspension,,suspension,small,light,86,common
Brachiopod_1,brachiopod,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,small,heavy,27,fairly_common
Crinoid_2,crinoid,facultative_attached,facultative,motile,erect,epifaunal,suspension,,suspension,small,heavy,5,rare
Echinoid_1,echinoid,slow_crawler,slow,motile,surficial,epifaunal,predator,macropredator,predator,large,moderate,1,very_rare
Fish_1,fish,fast_swimmer,fast,motile,pelagic,pelagic,predator,macropredator,predator,large,light,NA,NA
Gastropod_1,gastropod,slow_crawler,slow,motile,surficial,epifaunal,grazer,,herbivore,tiny,moderate,1,very_rare
Serpulid_1,serpulid,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,small,moderate,21,fairly_common
Soft_2,soft_indet,slow_crawler,slow,motile,surficial,epifaunal,grazer,,herbivore,small,light,NA,NA
Soft_4,soft_indet,slow_crawler,slow,motile,shallow_infaunal,infaunal,mining,,detritivore,small,light,NA,NA
Soft_5,soft_indet,slow_crawler,slow,motile,deep_infaunal,infaunal,suspension,,suspension,small,light,NA,NA
BASAL NODE,primary,primary,primary,primary,primary,primary,primary,primary,primary,primary,primary,primary,primary
